Age,Gender,Gender_3_TEXT,HL,Race,Race_5_TEXT,Education,Income,IPrelationship,IPrelationship_4_TEXT,IPInitials,ECRRS_1,ECRRS_2,ECRRS_3,ECRRS_4,ECRRS_5,ECRRS_6,ECRRS_7,ECRRS_8,ECRRS_9,BaselineMood_P,BaselineMood_N,StressorDescription,DescriptionTiming_FirstClick,DescriptionTiming_LastClick,DescriptionTiming_PageSubmit,DescriptionTiming_ClickCount,TimeofStressor,PostStressorMood_P,PostStressorMood_N,PRChoice_Prob,PRChoice_PerEff,RSChoice_Prob,RSChoice_PerEff,PDChoice_Prob,PDChoice_PerEff,PreChoiceMood_P,PreChoiceMood_N,ERChoice,PRTask,PRTaskTiming_FirstClick,PRTaskTiming_LastClick,PRTaskTiming_PageSubmit,PRTaskTiming_ClickCount,RSTask,RSTaskTiming_FirstClick,RSTaskTiming_LastClick,RSTaskTiming_PageSubmit,RSTaskTiming_ClickCount,PDTask,PDTaskTiming_FirstClick,PDTaskTiming_LastClick,PDTaskTiming_PageSubmit,PDTaskTiming_ClickCount,PostTaskMood_P,PostTaskMood_N,PROLIFIC_PID,ECR1R,ECR2R,ECR3R,ECR4R,Avoidance,Anxiety,ZAvoidance,ZAnxiety,filter_$
23,2, ,2,1, ,2,6,1, ,AH,7,6,7,7,1,1,4,5,6,4,7,"AH felt neglected by me when I went out drinking with friends because I failed to communicate my current location and status to AH after they had fallen asleep. I was upset because I felt as though it was unfair that they expected me to continue texting them after they quit responding to my messages. The following morning I let them know everything that had happened the night before. They were upset because I hadn’t told them when they were asleep. We disagreed on this for sometime and I feel as though they still feel negatively about it. I felt guilty for causing them to feel insecure. We’ve come to an agreement to disagree but I think we had each other feel better emotionally regardless. Now, I try my best to keep them updated no matter what because it makes them feel much better about my safety.",2.373,216.878,221.801,7,6,4,5,4,7,8,10,4,3,7,4,1,"This conflict shows me how much AH cares about it. In a sense, it shows they are worried about losing me. This makes me feel wanted and desired. However it makes me feel a bit guilty for their insecurity causing me a sense of security.

I think a better positive about this conflict is that even though we disagreed about each other’s actions, we still came to a conclusion and a positive outcome despite the intense emotions between us. It made us even stronger as a couple.",8.376,120.473,120.401,5, , , , , , , , , , ,5,4,5d43abe94d4b4a001779bda7,1,2,1,1,1.16666666666667,5,-.884604362489753,1.47534489792441,0
44,2, ,2,1, ,1,9,1, ,KV,6,6,6,6,2,2,2,3,5,8,2,"His lack of patience when it comes to our new puppy. I talked to him about it, and asked him to try harder to be patient with her.",1.908,60.63,61.266,5,3,8,2,8,8,8,8,6,6,8,8,2, , , , , ,"I will remind myself that we have been together for over 23 years. Sometimes he has little patience, but when we talk about it he gets better.",2.993,53.282,61.694,4, , , , , ,8,8,60fd771419e1a266614d4211,2,2,2,2,2,3.33333333333333,-.101299567475524,.441515227619109,1
35,2, ,2,1, ,2,5,3, ,KE,7,7,7,6,1,1,1,2,1,5,8,"It wasn't a major conflict but I was discussing something very important happening in my life and she seemed very distracting and like she wasn't listening. I usually chalk it up to having 3 kids at home and a husband and just being distracted but sometimes I could use her full attention more. It hurt my feelings because I felt like it wasn't important to her, even though it was to me.",1.129,6.449,83.326,2,1,5,8,1,1,8,8,7,7,6,6,2, , , , , ,"She has an absolute heart of gold and would do anything to help anyone. She speaks her mind and isn't afraid to stand up for herself. We laugh absolutely every single time we are together. She makes me feel secure in that I can open up to her about anything and she'll never judge me, just listen to me.",1.753,7.649,64.726,2, , , , , ,8,5,5f2dc46d6fa1250ee8a1a15d,1,1,1,2,1.16666666666667,1.33333333333333,-.884604362489753,-.799080376747258,1
35,2, ,2,1, ,3,4,1, ,PR,5,5,6,5,5,5,5,1,6,9,1,I opened up to this person regarding an employee. The following day I was still upset about this employee. I went to PR to talk to him about what happened during the day. As soon as I expressed what I was feeling his response was oh god stop complaining about them thats all you do. I immediately shut down and walked away. I don't feel comfortable talking about this person to PR anymore and it makes me what to not talk to him about anyone or anything.,3.942,45.394,148.186,2,1,9,1,8,5,5,3,8,5,9,1,1,It makes me learn that in most cases work problems need to stay work problems. It's a way that I can learn and be happier at home by leaving work issues behind.,6.524,6.524,70.902,1, , , , , , , , , , ,9,1,611153cf3c6eac92ffd42ff3,3,3,2,3,3.5,4,1.30864906355009,.855047095741231,0
20,1, ,2,1, ,1,3,1, ,MM,7,7,7,7,1,2,3,5,6,2,5,"Earlier this month, I had a conflict with MM where I was just insecure and annoyed and upset and lashed out at him. I don’t remember what the initial conflict was about-- something small and mundane-- but because I was feeling stressed and bad I unconsciously turned it into a much bigger argument about him not listening to me or respecting me. I don't believe my argument was true now, but in the moment I got very angry and could barely talk to him without getting accusational and difficult.",1.301,1.301,111.154,1,1,1,6,0,0,6,3,3,2,2,6,2, , , , , ,"I feel better when I think about the fact that I do not normally engage with conflict like that. MM and I have a great deal of respect for each other, and our relationship is usually very honest and straightforward. I do not feel that he is disrespectful or disengaged, and I feel like he understands me and treats my problems and concerns seriously.",1.225,4.294,71.219,3, , , , , ,3,5,610364937a29a4a977a46b46,1,1,1,1,1.16666666666667,4.66666666666667,-.884604362489753,1.26857896386335,1
33,2, ,2,1, ,2,5,1, ,KH,5,5,7,5,3,2,4,1,1,5,5,"Recently we decided I would re-enter the workforce for the first time since our daughter was born 6.5 years ago. My husband swore up and down that he would start doing more work in the home since I would be working outside the home. Instead nothing has changed, which has caused me to become increasingly frustrated with him and the state of our household affairs.",1.59,1.59,74.244,1,1,3,7,0,0,10,9,8,6,4,6,3, , , , , , , , , , ,"While my new job initially made me nervous, I have become much more comfortable in the role and enjoy having a new ""social"" circle with my coworkers. It has been nice to meet new people and learn new skills and information. Also, it's a great job that really suits my family's needs at this time.",3.126,77.641,81.125,2,6,2,5ede9abf2753c9130c5525f5,3,3,1,3,2.5,2,.368683309533014,-.385548508625136,0
38,2, ,2,"1,4", ,2,9,2, ,wc,7,2,5,7,1,2,1,1,1,9,1,"He is very hard headed and difficult sometimes.  He doesn't like to do anything that doesn't suit him well.  So this is always a point of contention.  But he is very sweet and has the biggest heart, so it is always easy to forgive him.",2.457,2.457,79.193,1,2,8,1,8,7,6,6,6,6,9,1,2, , , , , ,He is the sweetest person I know.  He always wants to help and be there no matter what.  I cannot imagine my life without him.  I know at the end of the day he is the most important person in my world and he thinking of him will always make my day better... even if he is being difficult,2.239,93.012,120.166,4, , , , , ,9,1,5dd8ad4d51db1c8655babbd1,1,6,3,1,2.33333333333333,1,.212022350530168,-1.00584631080832,1
33,2, ,1,1, ,1,4,1, ,VS,6,7,7,6,1,1,2,4,2,5,3,"I got into a conflict with VS, my spouse, because he took a route while we were driving to my brother's house in South Texas that was very congested and dangerous. There was an alternate route, but he didn't consider the alternative. We argued for a few minutes about why he took this route when we had bad experiences on it in the past. What caused the issue was lack of planning and I think it happened because my husband was in a hurry and didn't consider it, which is understandable, but the experience was stressful. I felt really stressed out by the whole situation, but we quickly calmed down and got through the chaotic traffic within a half hour.",1.338,250.366,262.603,7,1,5,3,8,6,8,8,3,3,5,3,2, , , , , ,My relationship with my husband is passionate and we love each other deeply. We have been friends for around 17 years and have been married for 13 years and he has always been there for me when I need him. We have been a fantastic team parenting our 12 year old son and we work together very well most of the time. I cherish my time with my husband and am confident in our relationship.,1.489,29.192,156.164,3, , , , , ,6,2,5cf7738aee94190018d73574,2,1,1,2,1.33333333333333,2.66666666666667,-.727943403486907,.0279833594969865,1
21,1, ,2,3, ,1,9,2, ,HP,6,6,6,6,3,4,2,1,1,7,2,"There have been some personal things that happened in my life regarding relationships with people and I decided to talk this through with HP. I told HP that this should stay between us and HP agreed. HP gave great advice about handling relationships and treading through school hardships when interacting with people. However, one day, I was talking to a church member who would occasionally do one-on-one counseling sessions with me as a way for me to mentally destress and they were privy to the conversation I had with HP. While I realized that both HP and the church member had good intentions, I felt a bit frustrated because if I wanted to talk about my personal situation, I would have told people myself. Instead, HP thought it was okay to share it with people we knew well and it caused a conflict. I was pretty unhappy and expressed my frustration and HP initially lied saying they didn't share the conversation details - only to admit later on that they did. At this point, I was more disappointed with HP lying to me than sharing what happened. HP apologized but it definitely made my trust in HP go down a bit.",1.982,247.802,248.492,4,2,6,4,6,6,7,7,7,7,7,2,3, , , , , , , , , , ,I have a lot of friends at school who I like to socialize and play games with. It's a fun time that I always look forward to and I think of it as a positive thing in my daily life. Being with my close friends gives me a temporary escape from all the conflicts I have and lets me destress.,1.403,64.131,65.961,4,7,2,5d3f5c8f0d0d29001a4bd973,2,2,2,2,2.5,1.33333333333333,.368683309533014,-.799080376747258,0
31,2, ,2,1, ,2,4,1, ,BB,7,7,7,7,1,1,1,2,2,3,8,"Him and I have different libido levels, there are times when he is more sexually active than I am. When expressing my needs/concerns for this, there was a moment where he was a bit short. Later that night when it was brought up again, he again expressed something in a dismissive manner. I believe it happened because I was reading something my therapist sent me about different roles we try to take on to people please. At first, I felt dismissed and a bit hurt when I was given a short answer. We talked about it more though and were able to resolve both of our hurt feelings at the time.",4.515,10.382,105.209,5,1,3,8,8,7,9,9,9,8,3,8,2, , , , , ,"This person and I have extremely open communication; we are able to be 100% honest with each other about everything. For example, when I was missing a very recent relationship, I was able to be honest about my feelings with BB. There have been multiple other instances that we have been able to be honest with each other.",1.208,95.87,118.594,5, , , , , ,4,7,60fcd0fcefad1a664a6154ac,1,1,1,1,1,1.66666666666667,-1.0412653214926,-.592314442686197,1
22,2, ,2,1, ,1,1,1, ,AC,7,7,7,7,1,2,1,1,1,6,4,"We both tend to shut down communication when we are hungry or tired, and so most conflict comes from the fact that we aren't communicating with one another. I felt really bad about not telling him how I was really feeling and so we worked out the issue we had by expressing how we felt and figuring out how we can fix it.",.7,61.976,94.15,8,2,6,4,7,6,8,6,3,2,6,4,1,"When we were able to talk out the issue, we were more open about how we were feeling and that made us more comfortable to express that right away in the future. When you are more open, you don't have to keep feelings pent up and risk an outburst later.",.67,3.699,66.715,2, , , , , , , , , , ,7,2,5e99d4c77224cb03a73a2943,1,1,1,1,1.16666666666667,1,-.884604362489753,-1.00584631080832,0
36,1, ,2,1, ,1,6,1, ,eb,5,4,4,5,4,5,3,2,3,8,0,she got drunk and drove. she made a bad choice after having too much to drink. i was mad at first because she took an unnecessary risk but i am over it now. she has not done it since. she agrees with me that she was wrong.,6.318,66.558,119.64,5,3,8,0,6,5,7,8,6,5,8,0,1,i learned from her mistakes and i have not driven after drinking since our fight.,3.092,3.092,104.958,1, , , , , , , , , , ,8,0,60ce56d42699a4857f02a46c,3,4,4,3,3.83333333333333,2.66666666666667,1.62197098155578,.0279833594969865,0
26,1, ,1,4, ,1,4,1, ,DM,4,3,2,5,2,5,4,6,6,9,3,I was not there when needed most and that led to being distant and now it is hard to get trust back . I try to be there but now I don't get noticed anymore . She is my daughter and I'm afraid she won't want to see me or anything . I hope to grow that bond with her again and in time will tell,2.702,50.181,128.548,6,3,6,1,10,2,9,2,7,3,8,4,1,She always asks for me and always looked for me before and would get so happy when she saw me . I know all that can come back I just can't let her down anymore .,9.444,9.444,60.931,1, , , , , , , , , , ,6,4,62349a7a9f16588b4bfd1060,4,5,6,3,4.16666666666667,5.33333333333333,1.93529289956147,1.68211083198548,0
29,1, ,2,1, ,1,2,1, ,BW,7,7,7,6,1,2,6,6,7,9,2,"She accused me of being ""inconsiderate"" and not thinking of her when I go out and do things. At first I felt attacked but after she explained her POV and some introspection I was able to understand. Ive been a very independent person in my life and I suffered from abandonment issues so I just adapted and focused on myself but that attitude isnt conducive to a healthy relationship",6.911,185.614,203.425,8,3,7,5,7,8,10,10,6,4,8,2,1,This argument shows that she does care for me and she wants our relationship to improve which is much better than the alternative. If she didnt care she wouldnt say anything so I realize that now,1.102,20.435,77.813,4, , , , , , , , , , ,9,2,5c003b5c2c8cc1000138e25f,1,1,1,2,1.33333333333333,6.33333333333333,-.727943403486907,2.30240863416866,0
21,1, ,2,3, ,1,3,1, ,KA,6,6,6,6,2,2,2,3,2,9,0,"I felt like she was being rude to me over something small, and I got very quiet and she noticed that I got quiet. I told her that what she said was rude eventually and she got mad at me for being quiet about it but did say sorry. I didn't like the apology and we ended up arguing more and more, and we started arguing about other things that had nothing to do with the problem.",.788,55.507,84.778,4,1,7,1,6,6,8,8,8,8,8,1,3, , , , , , , , , , ,"I think about the coding bootcamp I am attending and I feel positive thinking about how this can change my life, double my income, and give me an amazing future. I feel like thinking about how successful I can become because of the mindset that I have now and how no matter what happens, I finally found a passion in my life and something I am very interested in.",1.065,37.712,98.417,2,9,0,6014672ee65e6f1e9cb62247,2,2,2,2,2,2.33333333333333,-.101299567475524,-.178782574564074,0
35,1, ,1,5,hispanic,2,5,1, ,SR,7,7,7,7,1,1,1,5,5,8,0,"We had a dispute over going out for an afternoon of just getting out of the house. SR wanted to go to the zoo, but I needed to run some errands that were going to cost me more money than I had to spend really. At the end of the day we ended up having an argument over the entire situation. I felt pretty bad as I never intentionally went out of my way to hurt anyone.",1.145,1.145,86.265,1,3,4,4,0,0,6,5,6,3,7,6,3, , , , , , , , , , ,I've lost 32 lbs and i've been working out in the gym with a personal trainer lately. This makes me feel much better about myself and im looking forward to the future of being healthier,6.82,6.82,61.526,1,6,5,5b87e73d53303600015ea51c,1,1,1,1,1,3.66666666666667,-1.0412653214926,.64828116168017,0
41,3,Nonbinary,2,5,Biracial,1,1,1, ,JD,7,7,7,6,1,1,2,2,3,2,8,"There was an incident which took place quite some time ago. I have never gotten over it, and still feel jealousy over it from time to time. This can sometimes cause an argument between us, but we are usually able to talk through it.",12.939,12.939,119.57,1,1,2,8,7,3,10,4,1,1,3,7,2, , , , , ,"I realize that the incident which took place was a long time ago. It didn't happen during our relationship. Our relationship has always been pretty good, and I realize that my partner has always loved me and cared about me, and has always worked with me, through our issues, together.",9.049,127.821,130.673,8, , , , , ,5,2,60e90f4266d9d0bf0a17d2bf,1,1,1,2,1.16666666666667,2.33333333333333,-.884604362489753,-.178782574564074,1
25,2, ,2,"1,2", ,2,5,1, ,RG,7,7,7,5,2,5,2,6,5,7,2,"The last conflict with RG actually happened last night. His feelings over things outside of our control boiled over into lashing out at me. He said mean things, I cried. And we hung up the phone very angry with each other. It was caused because he is not great at dealing with emotions before it spirals out of control. We are in a tough space and what I had said to him that normally would have been normal, was the last straw that night. In the moment, I felt blindsided and ashamed. It was the first time he has ever spoken like that to me when I had done nothing wrong. The things he said were things that are insecurities of mine, so it felt awful to hear those things about yourself.",1.594,1.594,172.083,1,1,3,9,7,8,5,4,4,4,6,4,2, , , , , ,"The good thing about our relationship is that we are always able to talk through tense situations. It's not that we don't fight, but we are able to see problems as us versus the problem rather than him versus me. I am grateful he is willing to work through issues with me, as he is always so caring and supportive.",1.319,1.319,72.016,1, , , , , ,9,2,5f480b6311a040293ace095a,1,1,1,3,2.16666666666667,4.33333333333333,.0553613915273219,1.06181302980229,1
30,2, ,2,1, ,2,3,2, ,SS,5,5,5,5,2,4,2,1,2,5,6,"My mother had recently lost an ex partner very suddenly. She tends to be fairly emotionally closed off despite being an emotional person who is sensitive in many ways. It was a difficult thing to contend with because I wanted her to know she was supported by me and I wanted to provide a safe space for her to open up and emote about and process the event. She was initially making light of it and using that comedic or flippant behavior to more easily cope with the loss. I tried to treat her like herself not like the version of her I wish for because I know she processes traumatic events the way she does for very valid reasons. Instead of being critical or impatient with her, I asked her if she would reach out to me whenever she was in the mood to chat which she fairly often is. Eventually I caught her at an open time and she was very forthcoming with stories, emotions, regrets, musings, and reflections about her ex partner and it was cathartic for both of us, I think.",12.899,12.899,250.381,1,1,5,5,7,7,7,6,7,6,6,5,1,"I certainly count this experience as one that helped me and will continue to help me more deeply understand my mother. In addition, it gives me an opportunity to support her emotionally and hopefully model a healthy emotional interaction for her and with her. She doesn't really believe its valuable to deeply reflect and allow sadness in but in my opinion, this is vital to the healing and understanding process of life's troubles and circumstances; both big and small, personal and impersonal. I think opening this door will deepen our relationship and our conversations and hopefully she will continue to open up to me and use me in a healthy way as a supportive sounding board for her.",19.97,19.97,179.3,1, , , , , , , , , , ,6,5,60006f7aa028d70dab3baf76,3,3,3,3,3,1.66666666666667,.838666186541551,-.592314442686197,0
24,2, ,2,1, ,2,8,2, ,KG,6,6,5,5,3,5,5,5,5,7,3,I confided in this person to tell them about my current releationship and they just made negative comments. This made me very upset because I turn to this person for advice and would like more positive responses from them.,4.557,31.77,99.976,3,5,8,1,4,2,7,3,8,8,8,2,3, , , , , , , , , , ,I would try to think about the other good things in my life such as school and friendships. I would think about how fortunate I am and how I am in good health. Every day I get to wake up and and choose to make it a good day.,6.633,6.633,71.087,1,9,1,610cb5c418f84a72ea81a550,2,2,3,3,3,5,.838666186541551,1.47534489792441,0
24,2, ,2,2, ,3,9,2, ,DK,6,5,4,7,5,6,1,2,1,5,6,"We recently had a moment of tension because DK called me annoying after asking who I was speaking to on the phone and me having a slight attitude towards said question. I don't feel I displayed attitude but was taken aback by their question because why do they need to know. They then called me annoying in a very rude manner. If someone else called me annoying I wouldn't care but DK never calls me that nor uses an aggressive tone. Their use felt weaponized and recently they have been making similar negative comments. I care very much about this persons opinion of myself but also hold lots of tension towards them. Overall, the experience made me very angry and sad. I immediately wanted to distract myself but also lost motivation to do anything and keep replaying the interaction in my mind.",4.824,156.701,324.535,4,1,4,6,1,0,7,2,8,5,4,6,3, , , , , , , , , , ,I am happy to of seen my friends recently and had a refreshing time talking to them about ours lives and aspirations. I'm excited to be graduating soon and am looking forward to having a trip with my friends where we will create new memories.,5.303,145.319,160.962,7,5,5,61086b04ea6a5f5f43224358,2,3,4,1,3.5,1.33333333333333,1.30864906355009,-.799080376747258,0
30,2, ,2,5,Biracial,3,8,1, ,BB,6,7,7,6,2,2,2,5,4,4,7,"BB and I have moved into a condo owned by BB's parents after the recent death of my mother. The condo needs a lot of work done, including major work to be done in the bathroom. I was not able to help with much of the work since I was a full time caregiver for my mother before she passed and she needed maximum care. I was really hoping a good chunk of the work would be completed before we emptied out my mothers house (7 months after her death), but BB has been dragging his feet. He says he is open to doing the work, but can't seem to get anything done unless I plan and manage the whole thing. I know it will just have to be that I do the majority of the planning myself but I am very burnt out and still grieving. I know BB doesn't have alot of free time himself, but I can't help but feel very let down by the whole affair.",1.141,1.141,169.927,1,4,4,7,3,1,7,6,4,3,2,8,2, , , , , ,"I know that BB cares for me deeply and truly wants to help. I know none of this stems from laziness or carelessness. It helps to remember how sweet and attentive he is on a daily basis, even if the conflict isn't being handled and I way I find satisfying.",11.555,23.873,94.85,6, , , , , ,2,8,60fc81c001de28f9bd9a925e,2,1,1,2,1.66666666666667,3.66666666666667,-.414621485481216,.64828116168017,1
37,1, ,2,1, ,2,9,1, ,NH,7,7,7,7,1,1,1,1,1,6,4,"We had a disagreement, the exact nature of which I cannot remember. We both wanted the other to admit that they were wrong, but in the end it was closer to a misunderstanding and a mismatch of how we each defined something. Eventually we cooled off and were able to understand each other and reach a place where it was no longer an issue. I feel that disagreements of this kind are very natural when you spend a lot of time together with the same person and that as long as you both approach a resolution knowing that the other person cares for you and isn't trying to hurt you, that it will be over soon.",1.122,15.701,157.804,2,3,6,4,7,5,10,10,3,1,6,4,2, , , , , ,We have been through so much together and still find so much joy in each other's company that no small disagreements can last long. We need each other as we navigate through life and find comfort knowing that the other will always be by our side.,7.776,9.064,73.031,2, , , , , ,7,3,61117fbdce45590f443691b6,1,1,1,1,1,1,-1.0412653214926,-1.00584631080832,1
